                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.59395,                0.59731,                 1.0405,                0.96803,                0.99341,                  0.995,                0.89486,                0.54566,                 0.5177,                 0.9748,             0.00083482,             0.00083482,             0.00083482
                    129,                0.60597,                0.64813,                   1.02,                0.98194,                      1,                  0.995,                0.89389,                0.53481,                0.52699,                0.97985,             0.00083011,             0.00083011,             0.00083011
                    130,                0.61445,                 0.6246,                 1.0848,                0.98301,                0.99772,                  0.995,                   0.88,                0.48205,                 0.5561,                0.97122,             0.00082539,             0.00082539,             0.00082539
                    131,                0.58525,                0.61761,                 1.0301,                0.97322,                0.96699,                  0.995,                0.89341,                0.48773,                0.65611,                  0.981,             0.00082067,             0.00082067,             0.00082067
                    132,                0.57818,                0.61775,                 1.0344,                0.94258,                0.93615,                  0.995,                0.90153,                 0.5292,                0.70882,                 1.0048,             0.00081596,             0.00081596,             0.00081596
                    133,                 0.6202,                0.62572,                 1.0554,                0.92616,                0.96513,                  0.995,                0.91427,                0.50932,                0.65008,                0.99432,             0.00081124,             0.00081124,             0.00081124
                    134,                0.52275,                0.56321,                 1.0165,                0.91704,                0.98841,                  0.995,                0.90062,                 0.5151,                0.56029,                0.98929,             0.00080653,             0.00080653,             0.00080653
                    135,                 0.5203,                0.56597,                 1.0039,                0.91779,                      1,                  0.995,                0.89436,                0.54554,                0.53339,                 1.0012,             0.00080181,             0.00080181,             0.00080181
                    136,                0.58132,                0.59993,                 1.0354,                 0.9321,                      1,                  0.995,                0.90584,                 0.4961,                0.51604,                 0.9807,              0.0007971,              0.0007971,              0.0007971
                    137,                0.53133,                0.56412,                0.99578,                0.95371,                 0.9935,                  0.995,                0.91648,                0.45702,                0.48867,                0.96052,             0.00079238,             0.00079238,             0.00079238
                    138,                0.49819,                0.52773,                0.98199,                0.98181,                      1,                  0.995,                0.91053,                0.46033,                0.46568,                0.95814,             0.00078766,             0.00078766,             0.00078766
