                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 0.6816,                0.78587,                 1.1156,                 0.8061,                0.88239,                0.88161,                0.62823,                 1.1203,                 1.1379,                 1.4702,              0.0010046,              0.0010046,              0.0010046
                     63,                0.64553,                 0.7434,                 1.0603,                0.88423,                0.83317,                0.92798,                0.63144,                 1.0737,                 1.2158,                 1.3914,             0.00099751,             0.00099751,             0.00099751
                     64,                0.62028,                0.75416,                 1.0532,                0.78856,                0.88347,                0.85879,                0.60933,                 1.0486,                  1.296,                  1.384,             0.00099044,             0.00099044,             0.00099044
                     65,                0.65966,                0.80005,                 1.1125,                0.78111,                0.86148,                 0.8637,                0.61138,                  1.096,                 1.2814,                 1.4347,             0.00098337,             0.00098337,             0.00098337
                     66,                0.58658,                0.71506,                 1.0469,                0.82531,                0.94558,                0.89054,                0.59887,                 1.1019,                  1.187,                 1.4106,             0.00097629,             0.00097629,             0.00097629
                     67,                0.62144,                 0.7132,                 1.0295,                0.89834,                 0.9213,                0.90742,                0.60683,                 1.1072,                 1.0647,                   1.43,             0.00096922,             0.00096922,             0.00096922
                     68,                0.60584,                0.66832,                 1.0253,                0.97936,                0.95346,                0.98033,                0.64946,                 1.0882,                0.96299,                 1.3977,             0.00096215,             0.00096215,             0.00096215
                     69,                0.60254,                0.70282,                 1.0403,                0.90695,                0.94974,                0.97451,                0.71843,                0.99453,                0.89216,                 1.3038,             0.00095507,             0.00095507,             0.00095507
                     70,                0.63933,                0.72561,                 1.0907,                0.93846,                0.90656,                0.96857,                0.74403,                0.98817,                0.87488,                 1.3407,               0.000948,               0.000948,               0.000948
                     71,                0.63081,                0.75122,                 1.0941,                 0.9355,                0.85574,                0.95218,                0.74431,                0.90744,                0.87676,                  1.271,             0.00094093,             0.00094093,             0.00094093
                     72,                0.63684,                0.70604,                 1.0584,                0.80693,                0.94926,                0.91473,                0.71873,                0.86844,                0.90889,                 1.2645,             0.00093385,             0.00093385,             0.00093385
