                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.76931,                0.82964,                 1.1166,                0.93568,                0.87936,                  0.995,                0.87385,                0.60839,                0.80966,                 1.0631,              0.0011272,              0.0011272,              0.0011272
                     67,                0.72606,                0.80418,                 1.0952,                0.93716,                0.86489,                  0.987,                0.85597,                0.61781,                0.77727,                 1.0966,              0.0011225,              0.0011225,              0.0011225
                     68,                0.73448,                0.76851,                 1.1069,                 0.9281,                0.94128,                  0.995,                0.85834,                0.61371,                0.68136,                 1.0596,              0.0011178,              0.0011178,              0.0011178
                     69,                0.71172,                0.74759,                 1.1046,                 0.9248,                      1,                  0.995,                0.89908,                0.60666,                0.65308,                  1.038,               0.001113,               0.001113,               0.001113
                     70,                 0.7199,                0.82433,                 1.1456,                0.96055,                 0.9918,                  0.995,                0.86503,                0.68594,                0.68175,                 1.0517,              0.0011083,              0.0011083,              0.0011083
                     71,                0.77212,                0.81592,                 1.1675,                0.95782,                0.97023,                  0.995,                0.85615,                0.67824,                0.69357,                  1.063,              0.0011036,              0.0011036,              0.0011036
                     72,                0.80721,                0.79073,                 1.1343,                0.96356,                0.94588,                  0.995,                0.87696,                0.60996,                0.69058,                  1.078,              0.0010989,              0.0010989,              0.0010989
                     73,                0.76058,                0.81065,                 1.1248,                0.89102,                0.99119,                 0.9813,                 0.8323,                0.69362,                0.68229,                 1.1284,              0.0010942,              0.0010942,              0.0010942
                     74,                0.78401,                0.81235,                  1.165,                0.92279,                      1,                0.97204,                0.81971,                0.72384,                0.70591,                 1.1516,              0.0010895,              0.0010895,              0.0010895
                     75,                0.76036,                0.78145,                 1.1135,                0.92358,                      1,                0.97204,                0.80581,                0.70274,                0.72676,                 1.1196,              0.0010848,              0.0010848,              0.0010848
                     76,                0.68785,                0.77072,                 1.1252,                0.98619,                0.99516,                  0.995,                0.80774,                0.73665,                 0.7405,                 1.1205,                0.00108,                0.00108,                0.00108
                     77,                0.74123,                0.76075,                 1.0918,                 0.9839,                0.97559,                  0.995,                0.82464,                0.71916,                0.77207,                 1.1135,              0.0010753,              0.0010753,              0.0010753
                     78,                 0.7211,                0.76606,                 1.1106,                0.96072,                0.98488,                  0.995,                 0.8564,                0.67264,                0.69698,                 1.0923,              0.0010706,              0.0010706,              0.0010706
                     79,                0.66427,                0.71007,                 1.0657,                0.97587,                0.95632,                0.99056,                0.83271,                0.69117,                0.63282,                 1.0964,              0.0010659,              0.0010659,              0.0010659
                     80,                0.73114,                0.73298,                 1.1038,                0.97712,                0.95459,                  0.987,                0.81583,                0.65867,                0.63386,                 1.0856,              0.0010612,              0.0010612,              0.0010612
                     81,                0.68294,                0.74671,                 1.0887,                0.98003,                0.95064,                0.99056,                0.81608,                0.61218,                 0.6153,                 1.0566,              0.0010565,              0.0010565,              0.0010565
                     82,                0.71527,                 0.7207,                 1.0645,                0.97804,                0.95833,                0.99056,                0.83602,                0.63876,                0.62687,                 1.0641,              0.0010517,              0.0010517,              0.0010517
                     83,                0.68944,                0.74507,                 1.0834,                 0.9515,                      1,                  0.995,                0.83935,                0.63233,                0.65043,                 1.0623,               0.001047,               0.001047,               0.001047
                     84,                 0.7168,                0.72347,                 1.1323,                 0.9846,                0.91494,                0.98167,                0.82847,                0.62333,                0.67211,                 1.0469,              0.0010423,              0.0010423,              0.0010423
                     85,                0.67505,                0.76422,                 1.0886,                0.96658,                  0.875,                0.95833,                0.80364,                0.69251,                0.69883,                 1.0722,              0.0010376,              0.0010376,              0.0010376
                     86,                0.61518,                0.68106,                 1.0522,                0.93954,                0.89192,                  0.975,                0.83551,                0.69277,                0.74197,                 1.0862,              0.0010329,              0.0010329,              0.0010329
                     87,                0.66881,                0.65731,                 1.0605,                0.91111,                0.86406,                0.94238,                0.81051,                0.65549,                0.79072,                 1.0796,              0.0010282,              0.0010282,              0.0010282
                     88,                0.66251,                0.68453,                 1.0863,                0.92908,                0.86802,                  0.923,                 0.8029,                0.64509,                0.80159,                 1.0705,              0.0010234,              0.0010234,              0.0010234
                     89,                 0.6471,                0.69098,                 1.0774,                0.91652,                0.88109,                0.95633,                0.83789,                0.64224,                0.76207,                 1.0656,              0.0010187,              0.0010187,              0.0010187
                     90,                0.63473,                0.65338,                 1.0463,                0.93689,                0.95326,                0.96911,                0.82801,                 0.6674,                0.67625,                 1.0794,               0.001014,               0.001014,               0.001014
                     91,                0.64753,                0.64988,                 1.0754,                0.96669,                0.95354,                0.98167,                0.83619,                0.67268,                 0.6226,                  1.089,              0.0010093,              0.0010093,              0.0010093
                     92,                0.65927,                0.64656,                 1.0573,                0.97504,                0.97744,                  0.995,                0.84422,                0.66926,                 0.5782,                 1.0963,              0.0010046,              0.0010046,              0.0010046
